Step 1,Step 2,Step 3,Step 4,Link,Size,t,Path,Min or Max,Month/Year
,Exsisting Customers,Discount,No Response,link,22,-6,0,Min,Month
,Exsisting Customers,Discount,No Response,link,22,-5.75,1,Min,Month
,Exsisting Customers,Discount,No Response,link,22,-5.5,2,Min,Month
,Exsisting Customers,Discount,No Response,link,22,-5.25,3,Min,Month
,Exsisting Customers,Discount,No Response,link,22,-5,4,Min,Month
,Exsisting Customers,Discount,No Response,link,22,-4.75,5,Min,Month
,Exsisting Customers,Discount,No Response,link,22,-4.5,6,Min,Month
,Exsisting Customers,Discount,No Response,link,22,-4.25,7,Min,Month
,Exsisting Customers,Discount,No Response,link,22,-4,8,Min,Month
,Exsisting Customers,Discount,No Response,link,22,-3.75,9,Min,Month
,Exsisting Customers,Discount,No Response,link,22,-3.5,10,Min,Month
,Exsisting Customers,Discount,No Response,link,22,-3.25,11,Min,Month
,Exsisting Customers,Discount,No Response,link,22,-3,12,Min,Month
,Exsisting Customers,Discount,No Response,link,22,-2.75,13,Min,Month
,Exsisting Customers,Discount,No Response,link,22,-2.5,14,Min,Month
,Exsisting Customers,Discount,No Response,link,22,-2.25,15,Min,Month
,Exsisting Customers,Discount,No Response,link,22,-2,16,Min,Month
,Exsisting Customers,Discount,No Response,link,22,-1.75,17,Min,Month
,Exsisting Customers,Discount,No Response,link,22,-1.5,18,Min,Month
,Exsisting Customers,Discount,No Response,link,22,-1.25,19,Min,Month
,Exsisting Customers,Discount,No Response,link,22,-1,20,Min,Month
,Exsisting Customers,Discount,No Response,link,22,-0.75,21,Min,Month
,Exsisting Customers,Discount,No Response,link,22,-0.5,22,Min,Month
,Exsisting Customers,Discount,No Response,link,22,-0.25,23,Min,Month
,Exsisting Customers,Discount,No Response,link,22,0,24,Min,Month
,Exsisting Customers,Discount,No Response,link,22,0.25,25,Min,Month
,Exsisting Customers,Discount,No Response,link,22,0.5,26,Min,Month
,Exsisting Customers,Discount,No Response,link,22,0.75,27,Min,Month
,Exsisting Customers,Discount,No Response,link,22,1,28,Min,Month
,Exsisting Customers,Discount,No Response,link,22,1.25,29,Min,Month
